variable,lo,hi,n_sig,n_bkg,counting_proxy_pct,fit_rel_uncertainty_pct
Zcand_p,45.0,80.0,26328.539969191195,39215.77601866033,0.9723905767206892,0.6996209859081319
Zcand_p,45.0,inf,27081.645997919844,53063.74200001796,1.0453559873363303,0.6955904277987646
Zcand_m,-inf,95.0,31468.86211746741,53900.96763709308,0.9284770388144459,0.6500841865603567
Zcand_m,-inf,100.0,35965.515273560086,62067.399233060765,0.8705619280646707,0.61175581358478
Zcand_m,-inf,105.0,37580.64913310707,66480.92507169365,0.858382625097633,0.6019113853072577
Zcand_m,-inf,110.0,38164.78199619754,68760.82690669842,0.8567972819226404,0.5965753554743269
Zcand_m,-inf,inf,38408.56349237901,70879.57493202727,0.8607131727456967,0.595241091656612
Zcand_m,70.0,95.0,31183.948772194286,50230.568122095916,0.9149973088657113,0.6552033511094285
Zcand_m,70.0,100.0,35680.601928286764,58396.99971806195,0.8596287786125872,0.6145323630132389
Zcand_m,70.0,105.0,37295.7357878343,62810.52555669644,0.8483429235581678,0.6031384419198371
Zcand_m,70.0,110.0,37879.86865092524,65090.427391703095,0.8471250343650887,0.5983477444565843
Zcand_m,70.0,inf,38123.650147106695,67209.17541703192,0.8513093272537325,0.5966475095903145
Zcand_m,75.0,95.0,30444.829429102123,46970.61895408478,0.9139033547910773,0.6593092496964659
Zcand_m,75.0,100.0,34941.482585194375,55137.050550049964,0.858952848627379,0.6183959122103233
Zcand_m,75.0,105.0,36556.61644474309,59550.57638868297,0.8480314407537062,0.6072871925726475
Zcand_m,75.0,110.0,37140.749307834274,61830.47822369149,0.8470398000513557,0.6031163174424307
Zcand_m,75.0,inf,37384.530804016125,63949.226249022635,0.8515009523785447,0.6011654610716921
Zcand_m,80.0,95.0,28610.944336648216,41003.16221344697,0.9221815612811539,0.6753321214749869
Zcand_m,80.0,100.0,33107.5974927408,49169.59380941496,0.8663872695761241,0.6359958605160865
Zcand_m,80.0,105.0,34722.73135228478,53583.119648045984,0.8558169029849395,0.6189857760880046
Zcand_m,80.0,110.0,35306.86421537677,55863.02148305329,0.8551977662015441,0.6151435681180141
Zcand_m,80.0,inf,35550.64571155906,57981.76950838466,0.8602676290861236,0.6142246424878983
Zcand_m,85.0,95.0,24466.18251110007,31965.077621556313,0.9709428390305338,0.7232497002988281
Zcand_m,85.0,100.0,28962.835667193485,40131.5092175224,0.9075700833511481,0.6685527024255203
Zcand_m,85.0,105.0,30577.969526738518,44545.03505615704,0.8963504300868662,0.655106757795552
